vote,close,homeown,edu7cat,age,marriage,male
NA,29,0,1,76,0,0
NA,29,1,1,79,1,0
NA,30,0,1,40,1,0
0,14,1,1,44,0,1
1,25,0,1,64,0,0
1,29,1,1,68,1,0
1,30,1,1,65,1,0
0,30,1,1,46,1,1
1,29,0,1,59,1,1
0,29,0,1,32,0,1
NA,30,1,1,90,0,1
0,25,0,1,67,0,0
0,30,0,1,36,0,1
0,30,0,1,87,0,0
0,15,1,1,71,0,0
1,30,0,2,71,1,0
1,30,1,2,90,0,0
1,30,1,2,72,1,1
0,20,0,2,68,0,0
0,10,0,2,18,0,1
1,29,1,2,63,0,0
0,25,0,2,62,0,1
0,30,0,2,27,0,1
1,30,1,2,68,1,1
0,15,0,2,25,0,0
1,30,0,2,83,1,1
1,29,1,2,72,0,0
1,29,1,2,53,0,0
1,24,1,2,59,1,0
0,24,1,2,82,1,1
0,30,1,2,68,0,0
0,29,1,2,90,0,0
1,28,1,2,68,0,1
0,30,0,2,86,0,0
1,29,1,2,72,1,1
NA,29,1,2,85,0,0
1,28,1,2,54,1,1
1,25,1,2,72,1,1
1,25,1,2,68,1,0
1,15,1,2,66,0,0
0,30,1,2,64,0,1
0,8,1,2,57,0,0
0,30,1,2,53,1,0
NA,30,1,2,48,1,1
0,30,1,2,60,1,0
1,0,1,2,83,0,0
0,29,1,2,69,1,1
1,0,1,2,64,1,1
1,14,0,2,53,1,0
1,29,1,2,86,0,1
0,30,0,2,79,0,0
1,0,1,2,58,1,0
NA,0,1,2,40,1,1
1,30,1,2,82,0,0
NA,29,0,2,38,0,0
0,15,1,2,72,0,1
NA,15,0,2,39,1,0
0,0,0,2,57,0,1
1,25,1,2,43,0,1
NA,10,1,2,40,0,1
0,29,1,2,86,0,0
1,21,1,2,74,0,0
0,30,0,2,23,0,0
0,29,1,2,81,0,1
1,30,1,2,28,1,0
0,30,1,2,19,0,1
1,0,1,2,79,1,0
1,20,0,2,87,0,1
NA,15,1,2,46,0,0
