warsup,dem,female
strongly support,0,0
somewhat support,0,1
strongly oppose,0,1
somewhat oppose,1,1
strongly oppose,0,0
somewhat support,0,0
strongly support,1,1
somewhat oppose,1,1
somewhat support,0,0
strongly oppose,0,1
somewhat oppose,0,0
strongly support,0,0
somewhat oppose,1,1
somewhat oppose,1,0
strongly support,0,1
somewhat support,0,1
strongly oppose,1,1
somewhat oppose,1,1
somewhat oppose,1,0
somewhat oppose,0,1
strongly oppose,0,0
somewhat oppose,1,1
strongly oppose,1,1
strongly oppose,1,1
strongly support,0,0
somewhat oppose,1,0
strongly support,0,1
somewhat support,0,0
strongly oppose,1,1
somewhat support,0,0
strongly support,0,1
strongly oppose,1,1
somewhat support,1,1
somewhat oppose,1,1
strongly support,0,0
strongly support,0,0
strongly oppose,1,1
somewhat support,1,1
strongly support,0,1
somewhat support,1,0
strongly oppose,1,1
strongly oppose,1,1
somewhat support,0,1
strongly oppose,1,1
somewhat oppose,1,1
somewhat support,0,1
somewhat oppose,1,1
somewhat oppose,0,1
somewhat oppose,0,1
somewhat oppose,1,0
somewhat support,0,0
strongly oppose,1,0
strongly support,1,1
somewhat support,0,1
somewhat oppose,1,0
strongly support,0,0
strongly support,1,1
strongly support,0,0
somewhat oppose,0,0
somewhat support,1,1
strongly oppose,1,1
somewhat support,1,1
somewhat support,0,1
strongly oppose,1,1
somewhat oppose,1,0
somewhat support,1,1
strongly support,0,0
somewhat oppose,1,1
strongly oppose,1,1
strongly oppose,1,1
strongly oppose,1,1
somewhat oppose,0,1
strongly oppose,1,0
strongly oppose,0,0
somewhat support,0,1
strongly support,0,0
somewhat support,0,0
strongly support,0,0
strongly oppose,0,1
somewhat support,0,0
strongly oppose,1,1
strongly support,0,1
somewhat support,0,0
strongly support,0,0
somewhat oppose,1,1
strongly support,0,0
strongly support,0,1
strongly oppose,1,0
strongly oppose,1,1
somewhat support,0,1
strongly oppose,0,1
strongly support,0,1
strongly oppose,1,1
strongly oppose,1,1
strongly oppose,0,1
strongly oppose,1,1
somewhat oppose,1,1
strongly support,0,1
somewhat support,0,1
somewhat support,0,1
strongly oppose,1,1
strongly support,1,1
strongly support,0,1
somewhat support,1,1
strongly oppose,1,1
somewhat support,0,1
somewhat oppose,0,0
strongly support,0,0
strongly support,0,0
somewhat support,1,1
strongly oppose,1,1
strongly oppose,1,1
somewhat oppose,1,0
strongly oppose,1,0
strongly oppose,1,0
somewhat support,0,0
strongly oppose,1,1
strongly oppose,1,0
somewhat support,0,0
somewhat support,0,0
somewhat support,0,1
strongly support,0,1
strongly oppose,1,1
strongly oppose,1,0
somewhat support,0,1
somewhat oppose,1,0
strongly support,0,0
strongly support,0,0
strongly support,0,0
somewhat support,1,0
somewhat oppose,1,1
somewhat support,0,0
strongly oppose,1,0
somewhat support,0,1
somewhat support,1,1
somewhat support,1,0
somewhat oppose,1,1
strongly oppose,1,0
strongly oppose,1,1
somewhat support,1,1
strongly support,0,1
somewhat oppose,1,1
strongly oppose,1,1
strongly oppose,1,1
somewhat support,0,0
strongly support,0,0
strongly support,0,0
strongly support,0,0
somewhat support,1,1
strongly support,0,1
somewhat support,0,0
strongly oppose,1,1
somewhat support,0,1
strongly oppose,1,1
strongly support,0,1
strongly oppose,1,0
somewhat oppose,1,0
strongly support,1,1
strongly oppose,1,1
somewhat support,0,0
strongly oppose,1,0
strongly support,0,0
strongly oppose,1,1
somewhat support,0,1
somewhat support,0,0
strongly support,0,0
strongly oppose,0,0
strongly support,0,1
somewhat support,1,0
strongly oppose,0,0
strongly oppose,1,1
somewhat support,1,1
somewhat support,1,1
strongly oppose,1,1
somewhat oppose,1,0
strongly oppose,1,1
strongly oppose,1,1
strongly oppose,0,1
strongly support,0,0
strongly oppose,1,1
somewhat support,1,0
somewhat support,0,1
somewhat oppose,1,1
somewhat oppose,0,1
somewhat support,0,1
strongly oppose,1,0
somewhat support,1,0
strongly oppose,1,1
somewhat oppose,1,0
strongly oppose,1,0
strongly support,0,0
strongly support,0,1
strongly oppose,1,1
strongly oppose,1,1
strongly support,1,1
strongly oppose,1,0
somewhat oppose,1,0
somewhat oppose,1,1
somewhat support,1,0
somewhat oppose,1,0
somewhat support,0,0
strongly support,0,1
strongly oppose,1,1
somewhat support,0,1
strongly oppose,1,1
strongly support,0,1
strongly support,0,1
somewhat support,0,0
strongly oppose,1,1
somewhat oppose,1,0
strongly oppose,1,1
strongly oppose,1,1
somewhat oppose,1,0
somewhat support,0,1
somewhat oppose,0,0
strongly oppose,1,1
somewhat oppose,1,0
somewhat support,1,0
strongly support,0,0
strongly support,0,1
strongly oppose,1,0
somewhat support,0,1
strongly oppose,1,0
somewhat support,0,1
strongly support,0,1
strongly support,0,0
strongly oppose,1,1
strongly oppose,0,1
strongly support,0,1
somewhat support,0,1
strongly oppose,1,1
somewhat oppose,1,1
strongly support,0,0
somewhat support,0,0
strongly oppose,1,0
somewhat support,1,0
strongly support,0,0
somewhat oppose,0,0
strongly support,0,0
strongly oppose,0,0
strongly oppose,0,1
